rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
139,badbunnypr,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,83,46.25157884,10,42100000,42.1,3700000,3.7,5400000,5.4,67500000,0.0675,0.1309,13.09,0.0878859857,8.788598575,False,9.333063141,25.65282675,49.56455888,85.91549296
140,britneyspears,Turkey,101-200,Q2 팔로워 중하,Q2 반응 중하,일반 계정,80,32.04522911,3000,42100000,42.1,513100,0.5131,221700,0.2217,1600000000,1.6,0.0055,0.55,0.0121876485,1.218764846,False,9.333063141,3.23212942,2.082544491,81.69014085
141,j.m,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,83,72.35917728,20,41900000,41.9,14200000,14.2,11000000,11,368100000,0.3681,0.2641,26.41,0.338902148,33.8902148,False,9.155018994,100,100,85.91549296
142,mariliamendoncacantora,Brazil,101-200,Q2 팔로워 중하,Q3 반응 중상,일반 계정,73,30.2088621,1400,41800000,41.8,1000000,1,818600,0.8186,1500000000,1.5,0.0198,1.98,0.023923445,2.392344498,False,9.065677972,6.708094033,7.497160167,71.83098592
143,norafatehi,Anguilla,101-200,Q2 팔로워 중하,Q4 반응 높음,일반 계정,83,35.68915488,1700,41600000,41.6,1400000,1.4,727500,0.7275,2300000000,2.3,0.0176,1.76,0.0336538462,3.365384615,False,8.886352927,9.590091016,6.66414237,85.91549296
144,theweeknd,None,101-200,Q2 팔로워 중하,Q3 반응 중상,일반 계정,83,36.39259564,670,41500000,41.5,1100000,1.1,1600000,1.6,767000000,0.767,0.0397,3.97,0.0265060241,2.65060241,False,8.796366843,7.473014728,15.03218478,85.91549296
145,dior,None,101-200,Q2 팔로워 중하,Q1 반응 낮음,일반 계정,85,33.41032872,9700,41500000,41.5,88800,0.0888,63600,0.0636,863000000,0.863,0.0016,0.16,0.00213975904,0.213975904,False,8.796366843,0.256097244,0.605831125,88.73239437
146,ranveersingh,Switzerland,101-200,Q2 팔로워 중하,Q3 반응 중상,일반 계정,85,35.24851542,1800,40800000,40.8,1000000,1,299300,0.2993,1800000000,1.8,0.0076,0.76,0.0245098039,2.450980392,False,8.160326229,6.881764643,2.877697842,88.73239437
147,marinaruybarbosa,Brazil,101-200,Q2 팔로워 중하,Q2 반응 중하,일반 계정,81,32.07976086,2100,40700000,40.7,586400,0.5864,0,0,1200000000,1.2,0.0001,0.01,0.0144078624,1.440786241,False,8.068573545,3.889723058,0.0378644453,83.09859155
148,jenniferaniston,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,85,42.4157002,90,40700000,40.7,4600000,4.6,731000,0.731,452000000,0.452,0.0188,1.88,0.113022113,11.3022113,False,8.068573545,33.09776572,7.118515714,88.73239437
149,addisonraee,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,85,39.97874783,300,40100000,40.1,3100000,3.1,994400,0.9944,957900000,0.9579,0.0249,2.49,0.0773067332,7.730673317,False,7.513278188,22.51941288,9.428246876,88.73239437
