Date,삼성전자,삼성전자우,괴리율
2005-09-29,8296.5126953125,5774.80419921875,30.39480066749619
2005-09-30,8226.556640625,5787.5517578125,29.6479437188583
2005-10-03,8226.556640625,5787.5517578125,29.6479437188583
2005-10-04,8436.4189453125,5838.54296875,30.793586631990927
2005-10-05,8408.4423828125,5883.16357421875,30.032658768710995
2005-10-06,8212.5693359375,5742.9326171875,30.071426099784404
2005-10-07,8156.60595703125,5672.82080078125,30.451209355147274
2005-10-10,8296.5126953125,5711.0654296875,31.163060439668445
2005-10-11,8366.4677734375,5723.8125,31.58627206845407
2005-10-12,8086.6494140625,5545.34228515625,31.425958994673053
2005-10-13,7904.775390625,5417.86181640625,31.460901180926783
2005-10-14,7904.775390625,5398.7392578125,31.70281265403997
2005-10-17,7876.7919921875,5398.7392578125,31.46017740258758
2005-10-18,7918.76171875,5405.11474609375,31.742929790455126
2005-10-19,7722.89306640625,5258.51513671875,31.91003563686875
2005-10-20,7778.85693359375,5264.88818359375,32.317971283713696
2005-10-21,7890.78125,5354.123046875,32.14711094829805
2005-10-24,7918.76171875,5411.48876953125,31.662437111626218
2005-10-25,7904.775390625,5379.619140625,31.944693241946066
2005-10-26,7876.7919921875,5417.86181640625,31.21740650534012
2005-10-27,7806.8349609375,5456.1064453125,30.11115935442688
2005-10-28,7638.9501953125,5335.0009765625,30.16054771719517
2005-10-31,7736.88330078125,5417.86181640625,29.97358747986843
2005-11-01,7904.775390625,5436.98486328125,31.218983530772164
2005-11-02,8044.68212890625,5494.35107421875,31.702073665827257
2005-11-03,8212.5693359375,5609.08154296875,31.70125799213786
2005-11-04,8380.45703125,5691.94189453125,32.08076989946383
2005-11-07,8366.4677734375,5749.3095703125,31.28151896352429
2005-11-08,8422.42578125,5813.048828125,30.981299460471277
2005-11-09,8394.4443359375,5768.4306640625,31.282757580900967
2005-11-10,8464.4033203125,5781.17919921875,31.70009768620864
2005-11-11,8646.28125,5902.28515625,31.7361419830057
2005-11-14,8758.205078125,5959.64892578125,31.953535312087926
2005-11-15,8674.26171875,5889.53564453125,32.10332088780971
